player_api_id,date,overall_rating
505942,2016-02-18 00:00:00,67
155782,2016-04-21 00:00:00,74
162549,2016-01-07 00:00:00,65
30572,2016-04-21 00:00:00,69
23780,2015-12-24 00:00:00,70
27316,2016-04-28 00:00:00,77
564793,2016-04-21 00:00:00,61
30895,2015-10-16 00:00:00,77
528212,2016-02-25 00:00:00,48
101042,2015-12-03 00:00:00,69
23889,2012-02-22 00:00:00,68
231592,2016-02-04 00:00:00,75
163222,2014-09-18 00:00:00,62
40719,2016-04-28 00:00:00,70
75489,2016-03-10 00:00:00,82
597948,2016-04-14 00:00:00,55
161644,2016-04-28 00:00:00,64
23499,2016-04-21 00:00:00,65
120919,2016-05-12 00:00:00,75
46447,2010-08-30 00:00:00,64
167027,2016-06-23 00:00:00,74
245653,2011-02-22 00:00:00,64
128456,2016-03-17 00:00:00,73
42664,2016-02-04 00:00:00,67
425950,2014-07-18 00:00:00,59
38423,2010-02-22 00:00:00,68
3264,2010-08-30 00:00:00,62
467485,2016-02-04 00:00:00,63
306735,2014-03-21 00:00:00,56
41659,2015-09-25 00:00:00,63
31684,2009-08-30 00:00:00,73
32637,2010-02-22 00:00:00,61
563215,2016-04-28 00:00:00,66
41093,2016-04-21 00:00:00,70
564712,2016-03-10 00:00:00,64
67334,2016-01-21 00:00:00,72
173955,2016-04-21 00:00:00,72
39562,2016-04-21 00:00:00,75
191784,2016-06-09 00:00:00,73
210400,2016-04-28 00:00:00,69
201915,2016-04-21 00:00:00,73
194479,2016-03-24 00:00:00,73
189181,2016-04-21 00:00:00,69
352887,2016-03-03 00:00:00,73
40005,2014-03-07 00:00:00,67
409003,2016-02-25 00:00:00,60
37280,2015-02-20 00:00:00,65
439366,2016-05-05 00:00:00,64
148827,2016-03-31 00:00:00,69
173011,2013-11-22 00:00:00,63
419681,2016-05-05 00:00:00,67
196947,2015-09-21 00:00:00,72
89405,2016-05-12 00:00:00,66
324910,2016-03-17 00:00:00,77
67952,2014-07-25 00:00:00,64
31012,2012-08-31 00:00:00,82
176301,2013-02-15 00:00:00,57
307227,2016-04-21 00:00:00,63
176302,2010-08-30 00:00:00,62
525595,2016-04-21 00:00:00,71
24385,2016-04-14 00:00:00,73
29904,2015-01-09 00:00:00,70
105548,2016-04-21 00:00:00,73
172875,2016-05-05 00:00:00,69
302985,2015-03-13 00:00:00,61
240556,2016-03-24 00:00:00,68
40938,2010-08-30 00:00:00,73
37422,2016-01-28 00:00:00,71
114503,2016-06-09 00:00:00,67
27277,2015-09-21 00:00:00,75
181344,2010-08-30 00:00:00,62
581141,2015-09-21 00:00:00,61
80592,2015-04-01 00:00:00,65
165706,2016-04-28 00:00:00,73
210453,2013-07-05 00:00:00,68
208635,2014-11-14 00:00:00,65
213695,2016-03-24 00:00:00,71
33715,2013-04-26 00:00:00,66
41489,2015-07-03 00:00:00,61
25571,2016-03-31 00:00:00,76
660145,2016-02-04 00:00:00,61
45960,2011-02-22 00:00:00,67
293235,2016-04-21 00:00:00,73
34487,2010-02-22 00:00:00,59
26331,2015-09-21 00:00:00,67
41749,2010-02-22 00:00:00,73
495841,2016-07-07 00:00:00,72
519835,2016-06-09 00:00:00,67
68840,2014-05-30 00:00:00,63
27534,2016-04-21 00:00:00,69
157303,2016-03-17 00:00:00,73
563198,2014-09-18 00:00:00,52
557396,2016-04-21 00:00:00,62
365666,2016-01-14 00:00:00,59
180197,2016-06-09 00:00:00,66
310346,2014-09-18 00:00:00,59
68962,2015-09-21 00:00:00,66
429870,2016-04-21 00:00:00,62
23133,2014-05-23 00:00:00,64
420209,2015-05-15 00:00:00,57
308280,2013-09-20 00:00:00,60
361712,2016-05-05 00:00:00,60
38617,2015-11-19 00:00:00,73
173993,2016-04-28 00:00:00,68
277313,2016-04-14 00:00:00,69
40568,2015-11-19 00:00:00,65
281079,2016-06-16 00:00:00,66
89240,2016-02-04 00:00:00,69
24159,2015-10-30 00:00:00,78
414208,2016-03-10 00:00:00,57
43317,2016-03-10 00:00:00,67
37234,2016-05-12 00:00:00,80
24952,2016-06-09 00:00:00,70
209372,2016-03-17 00:00:00,74
69518,2014-10-17 00:00:00,62
478447,2016-05-05 00:00:00,69
500502,2016-04-21 00:00:00,73
170593,2016-06-09 00:00:00,73
185336,2015-12-10 00:00:00,71
69249,2016-05-12 00:00:00,66
407308,2015-09-21 00:00:00,62
12245,2015-09-21 00:00:00,66
684978,2016-04-28 00:00:00,69
306507,2016-03-03 00:00:00,64
73078,2016-06-16 00:00:00,72
31916,2016-03-10 00:00:00,71
555649,2015-10-19 00:00:00,56
158861,2015-11-06 00:00:00,67
160447,2015-11-12 00:00:00,70
36774,2016-03-10 00:00:00,74
243068,2016-01-28 00:00:00,66
71359,2013-11-29 00:00:00,66
495942,2014-12-12 00:00:00,52
287224,2015-09-21 00:00:00,66
26136,2015-04-10 00:00:00,64
164360,2016-04-21 00:00:00,67
357881,2016-02-11 00:00:00,68
181211,2016-05-12 00:00:00,74
533212,2015-12-24 00:00:00,68
103866,2015-03-27 00:00:00,69
